文件名,董事会成员变动,董秘变更,高级管理层变更,重大资产重组,控股股东/实际控制人变更,子公司或重要分支机构重大变化,对财务状况的分析,营业收入增长情况,净利润变动分析,毛利率变动分析,销售费用率变化,管理费用控制情况,经营性现金流变化趋势,应收账款变化与风险,资产负债结构调整,利润质量分析（是否依赖非经常性损益）,核心竞争力分析（品牌、成本、效率等）,市场拓展与业务布局进展,区域/产品结构优化情况,供应链/渠道建设进展,战略合作与外部联盟情况,投资项目执行及回报分析,企业文化建设与团队稳定性,对标管理与精细化运营成果,技术创新与研发投入,新产品/新技术推出情况,研发费用占比变化,专利数量与知识产权布局,智能制造/数字化转型进展,行业竞争格局分析,行业发展趋势与机会识别,国家政策影响与公司应对,未来经营计划与增长目标,订单/客户/签约情况展望,海外市场/出口业务计划,对经济周期或宏观环境的判断,面临的主要风险因素及变化,政策/监管风险与公司响应,环保合规/碳排放压力,土地/原材料/人工成本波动风险,资金链紧张预警,核心客户集中度及流失风险,可持续发展战略与目标,社会责任履行与公益活动,节能降耗/绿色生产措施
2429-兆驰股份-2021.txt,未提及,未提及,未提及,公司出售兆驰供应链85.2273%股权，交易价格30亿元，出售日2021年11月23日，出售对公司影响为兆驰供应链不再纳入合并范围，股权出售定价原则为每股净资产，交易对方为麦威新电源、惠州市易为技术有限公司,未提及,新增深圳市兆驰晶显技术有限公司、东莞兆驰智能公司、深圳市兆驰数码软件技术有限公司；剥离深圳市兆驰供应链管理有限公司,"2021年营业收入225.38亿元（+11.65%），净利润3.33亿元（受恒大集团应收债权减值影响），剔除减值后净利润22.26亿元（+26.26%）；经营活动现金流净额21.05亿元（同比+23,275.27%），投资活动现金流净额-24.03亿元，筹资活动现金流净额-13.37亿元",2021年营业收入225.38亿元，同比增长11.65%，其中LED产业链营收45.72亿元（+24.17%），智慧显示业务营收175.66亿元（+9.95%）,净利润3.33亿元，主要受恒大集团应收债权减值18.93亿元影响；剔除减值后净利润22.26亿元，同比增长26.26%,整体毛利率15.83%，同比增长；LED产业链毛利率20.65%（+9.01%），智慧显示业务毛利率12.97%（+1.15%）,销售费用率1.54%（3.47亿元），同比基本持平,管理费用率1.05%（2.36亿元），同比增长2.51%,"经营性现金流净额21.05亿元，同比大幅增长23,275.27%",应收账款54.25亿元（+1.02%），未提及坏账风险,货币资金减少4.64%（23.33亿元），短期借款减少5.90%（34.28亿元），长期借款增加2.02%（5.18亿元），投资性房地产减少0.01%,净利润受非经常性损益影响，剔除后主营业务利润22.26亿元,拥有全球第二的液晶电视ODM出货量（1000万台以上），LED芯片产能行业第二，自动化信息化水平领先，研发费用占比2.89%（+17.63%），拥有100μm以下MiniRGB显示技术,布局Mini/MicroLED显示技术，推出COB封装产品，拓展5G微基站、Wi-Fi6、10GPON等产品，智慧家庭组网业务覆盖通信及IoT领域,境外营收占比44.94%（+15.72%），LED产业链营收占比20.29%（+24.17%）,建立全球供应链体系，LED芯片月产能达110万片4寸片，MiniLED背光产能扩大，供应链管理业务减少,与Roku、Amazon Fire、Google等达成智能电视合作，与终端品牌厂商合作MiniLED背光技术,新增52腔氮化镓MiniLED生产线，投资5.2亿元；LED全产业链投资12.12亿元，预计提升市场占有率,未提及,未提及,研发费用5.55亿元（+17.63%），研发费用占比2.89%，研发项目包括MiniRGBLED倒装芯片、MicroRGBLED芯片、超高亮GaAs器件等,推出100μm以下MiniRGB显示产品、COB封装技术、MiniCOB背光方案、MiniPOB倒装产品、高光效LED芯片等,研发费用占比2.89%（+0.38%）,未提及,通过信息化系统实现生产自动化，MES/SAP系统升级，AGV、机械手等设备应用,LED行业向中国大陆转移，MiniLED背光市场快速增长，公司处于行业领先地位,Mini/MicroLED技术商业化加速，5G+超高清产业生态发展，智慧显示市场需求增长,受益于5G、超高清视频产业政策，布局MiniLED、5G通信设备,聚焦主营业务，发展Mini/MicroLED技术，拓展5G市场，深化LED全产业链协同,前五大客户销售额占比51.55%，LED产业链客户覆盖全球,海外市场营收占比44.94%，获Google、Roku、Amazon Fire授权，拓展海外智能电视业务,未提及,未提及,未提及,未提及,未提及,未提及,前五大客户销售额占比51.55%，未提及客户集中度风险,成为全球消费者尊敬的中国企业，推动LED全产业链协同发展,未提及,未提及
600566-济川药业-2021.txt,未提及,未提及,未提及,未提及,未提及,全资子公司济川有限、济源医药与天境生物达成战略合作协议，获得长效重组人生长激素“伊坦生长激素”的开发、生产及商业化权益，支付首付款2.24亿元。,"营业收入763,051.00万元（+23.77%），净利润171,917.59万元（+34.60%），扣非净利润155,688.00万元（+26.15%）。",同比增长23.77%，主要因疫情缓解、产品结构优化及渠道拓展。,同比增长34.60%，受益于疫情恢复、产品梯队增长及成本控制。,整体毛利率83.36%，同比提升1.62个百分点，主要因产品结构优化及成本控制。,销售费用率48.67%（+23.40%），主要因市场推广投入增加。,管理费用同比增长9.27%，但占营收比例下降。,同比增长6.32%，现金流净额18.94亿元。,未提及具体应收账款数据，但未发生因质量问题导致的法律纠纷。,交易性金融资产增加33.15%（13.81%→11.96%），其他非流动金融资产增长120.72%（2.60%→1.36%）。,"扣非净利润占比84.6%（155,688.00/183,117.59），利润质量较高。",产品线覆盖儿科、消化、呼吸等领域，蒲地蓝消炎口服液等入选多份临床指南，品牌获“中国驰名商标”等荣誉，研发投入占比7.14%。,成立零售事业部，拓展医药电商、互联网医院合作，签订4项产品引进协议。,儿科类产品营收增长63.85%，呼吸类产品增长72.01%，中药类产品增长32.07%。,推行供应商审计、红线管理制度，优化成本攻关，拓展电商及互联网渠道。,与天境生物合作开发长效重组人生长激素，与中华医学会等举办学术会议。,理财产品投资减少导致投资活动现金流净额同比上升54.54%。,获评“全国先进基层党组织”，研发人员占比10.30%，团队稳定性强。,未提及。,研发费用同比增长114.74%，获8项发明专利，研发投入占比7.14%。,宫瘤清片获药品生产批件，入选国家科技进步奖。,研发费用占比7.14%（+114.74%）。,获8项发明专利，包括中药制备方法及制剂专利。,未提及。,行业集中度提升，仿制药一致性评价加速，创新药发展加快。,医保控费、集采常态化，创新药及中药配方颗粒政策利好。,积极应对医保目录调整、集采政策，优化产品结构及渠道。,2022年聚焦“发展、转型、创新”，推进精益化制造、数字化转型及人才梯队建设。,未提及。,未提及。,未提及。,政策风险（医保目录调整）、行业竞争加剧、产品集中度高、价格下降、质量控制、产能消化。,密切关注医保目录调整，优化营销策略。,未提及。,原材料价格波动影响成本，但公司通过招标采购降低波动影响。,未提及。,未提及。,未提及。,未提及。,未提及。
2552-宝鼎科技-2021.txt,无相关信息,无相关信息,无相关信息,无相关信息,无相关信息,无相关信息,"2021年营业收入353,163,711.93元，同比下降3.68%；净利润6,367,062.44元，同比下降16.03%；毛利率13.22%，同比下降2.51%；销售费用率9.81%（3,467,926.42元/353,163,711.93元），同比上升14.48%；管理费用率8.65%（30,540,839.46元/353,163,711.93元），同比上升9.85%；经营性现金流净额49,875,653.43元，同比下降0.93%；应收账款80,283,992.77元，同比下降2.13%；资产负债率（货币资金/总资产）14.73%；利润质量分析：净利润依赖非经常性损益（投资收益13,380,780.52元，占利润总额207.19%）",同比下降3.68%，主要因海外疫情导致订单发货延迟,"同比下降16.03%，主要因固定资产折旧38,509,480.82元及资产减值准备6,711,582.07元",整体毛利率13.22%，同比下降2.51%；船舶配套产品毛利率12.07%，同比下降2.57%；电力配套产品毛利率25.16%，同比下降5.44%；工程机械配套产品毛利率9.73%，同比下降4.86%,同比上升14.48%至9.81%,同比上升9.85%至8.65%，主要因子公司宝鼎重工研发投入增加,"净额49,875,653.43元，同比下降0.93%","应收账款80,283,992.77元，同比下降2.13%，主要因销售回款周期延长",货币资金同比增加10.79%至14.73%，存货同比增加5.57%至16.90%,净利润依赖非经常性损益，投资收益占利润总额207.19%,拥有十大船级社认证，具备高精度检测设备，研发投入占比4.34%,出口业务占比88.2%，工程机械配套产品占比提升至37.9%,国内业务占比95.76%，船舶配套产品占比52.14%,与主要供应商建立稳定合作关系，原材料采购渠道稳定,未提及,投资活动现金流量净额同比上升192.16%，主要因理财产品赎回增加,未提及,未提及,"研发费用15,311,275.04元，同比上升13.86%，新增4项专利授权","推进年精加工20,000吨大型铸锻件建设项目",研发费用占比4.34%，同比上升0.67%,新增4项专利授权（含1项发明专利）,未提及,我国造船完工量、新接订单量、手持订单量占全球47.2%-53.8%,风电产业快速发展带动相关产品需求,"受益于""双碳""战略及风电产业政策",推进重大资产重组，优化产品结构，加强研发创新,未提及,未提及,未提及,宏观经济波动、产品结构集中、原材料价格波动、疫情反复,未提及,未提及,原材料价格波动影响毛利率,未提及,前五大客户销售额占比34.89%,未提及,未提及,未提及
895-双汇发展-2021.txt,无相关信息,无相关信息,无相关信息,"报告期内获取重大股权投资51,200,000.00元，收购哈尔滨鹏达种业有限公司40%股权",无相关信息,西华禽业肉鸡产业化项目（68.17%）、阜新禽业肉鸡产业化项目（58.43%）、阜新牧业生猪产业化项目（65.17%）、股份屠宰厂技改项目（88.67%）、股份肉制品分厂技改项目（100%）等重大投资项目进展,经营活动现金流净额同比下降31.60%，投资活动现金流净流出减少31亿元，筹资活动现金流净流出增加44.67%,营业收入668亿元，同比下降9.72%,归属于母公司净利润48.7亿元，同比下降22.2%,屠宰业毛利率5.07%（同比下降1.35%），生鲜产品毛利率5.07%（同比下降1.35%）,销售费用率2.81%（同比上升13.88%）,管理费用10.82亿元，同比下降22.31%,经营性现金流净额60.34亿元，同比下降31.60%,应收账款1.83亿元，同比下降0.14%,货币资金减少1.65亿元，存货减少0.71亿元，固定资产增加2.36亿元，在建工程增加8.19亿元,非经常性损益占比3.57%（投资收益）,"品牌价值位列""BrandZ™最具价值中国品牌100强""，拥有国家级技术中心，实施ISO9001/HACCP体系，形成产业集群协同优势","全国17省30个加工基地，线上渠道覆盖天猫、京东等21家店铺，线下经销商18,947家",生鲜产品销量163.25万吨（+18.24%），包装肉制品库存量3.01万吨（+135.16%）,建立覆盖全国100多万个销售网点，与罗特克斯形成国际采购协同效应,与罗特克斯有限公司及其子公司形成关联方采购，持股比例16.51%,累计投入38.53亿元，完成西华禽业等项目68.17%-100%进度，预计2022年达产,研发人员246人（+35.16%），硕士学历占比75.34%，30岁以下占比112.5%,生鲜产品毛利率5.07%，包装肉制品毛利率28.62%,研发投入7.27亿元（占营收1.09%），研发人员占比0.53%,"推出""板烧鸡腿王""等特色产品，开发海藻胶共挤技术，研发素食产品",研发投入占比1.09%（同比增加0.33%）,拥有国家级技术中心、博士后流动站，未披露具体专利数量,实施信息化供应链管理，推进屠宰业自动化改造,行业集中度提升，规模化企业优势凸显，冷鲜肉占比提升,消费升级推动肉制品深加工，冷鲜肉和预制菜市场增长,响应环保政策，淘汰落后产能，提升行业规范水平,2022年计划投资42亿元，推进42个重点项目，实现经营指标增长,前五大客户销售额占比2.71%，应收账款余额为零,通过Smithfield品牌拓展国际市场，开展国际贸易,关注生猪价格波动，优化库存管理应对周期性风险,猪价波动、原材料价格、消费转型、人工成本上升,加强食品安全管控，落实环保合规要求,实施绿色防腐技术，优化副产品加工工艺,通过规模化采购控制成本，提升生产效率,现金及现金等价物净增加额-5.56亿元，但经营现金流仍为正,前五大客户销售额占比2.71%，无重大客户依赖,推进绿色生产，发展素食产品，提升资源利用效率,"获得""中国肉类食品行业先进企业""称号，开展公益捐赠",采用低温保鲜技术，实施绿色防腐原料应用
2415-海康威视-2021.txt,未提及,未提及,未提及,未提及,未提及,未提及,无相关信息,无相关信息,无相关信息,无相关信息,无相关信息,无相关信息,无相关信息,无相关信息,无相关信息,无相关信息,海康威视专注于物联感知、人工智能和大数据领域的技术创新，构建开放合作生态，具备大型复杂智能物联系统建设的全过程服务能力。通过软硬融合、云边融合、物信融合、数智融合技术，形成全面的感知技术平台和智能算法体系，持续迭代产品矩阵，覆盖全球150多个国家和地区。,深化公共服务、企事业单位、中小企业业务组织，拓展智慧城市、交通出行、城市治理、民生服务、生态环保等领域智慧业务。在海外布局中，针对不同市场特色迭代技术体系，服务近百家港口企业、全国十八个铁路局集团、上百个高铁车站枢纽等。,未提及,未提及,构建培训认证体系，与生态合作伙伴共建开放平台，提供1500多个开放接口、1100多个共性组件，覆盖278个软件平台产品，支持合作伙伴开发应用。,未提及,未提及,未提及,"投入AI开放平台、自主学习系统、算法仓库等技术，2021年AI开放平台服务企业用户超8,000家，生成模型50,000个，累积落地项目4,000个。构建算法仓库和模型仓库，支持算法复用和模型管理。",推出超清全彩摄像机、海康雷视道路预警系列、智融存储、超脑NVR、会议平板系统等产品，应用多维感知技术、边缘计算、AI算法等。,未提及,未提及,构建“两池三库七平台一屏一环境”基础软件体系，深化数智基座能力，推进边缘节点、边缘域、云中心产品架构发展，实现智能应用闭环落地。,智能物联技术渗透多个行业，海康威视在智慧安防、工业物联、智能家居等场景形成技术优势，通过开放生态合作提升行业竞争力。,物联网与人工智能深度融合，推动智慧城市、交通管理、生态环保等领域数字化转型，海康威视聚焦场景化产品和解决方案，把握技术浪潮。,响应国家数字化改革政策，深化“感知统建、一网统管”能力，服务政府数字化治理，助力疫情防控、乡村振兴等国家战略。,持续推进产品、系统、服务升级，深化数字化转型，拓展智慧园区、智慧医疗、智慧物流等新场景，构建“感知、智能、数据”核心能力。,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,推进绿色生产，通过节能降耗措施降低能耗，服务环保领域，助力碳达峰、碳中和目标。,参与疫情防控、乡村振兴，提供智慧安防解决方案，助力基层治理和民生服务，践行社会责任。,未提及
963-华东医药-2021.txt,未提及,未提及,未提及,公司收购英国Sinclair、HighTech及Viora公司100%股权，实现医美领域全球化布局；收购西班牙HighTech公司100%股权，收购美国Viora公司100%股权，形成能量源医美器械产品线全覆盖。,未提及,控股子公司浙江珲达生物科技有限公司成立；收购安徽华昌高科药业有限公司100%股权；成立湖北美琪健康科技有限公司；成立成都海狸互联网医院有限公司。,2021年营业收入345.63亿元（+2.61%），净利润23.02亿元（-18.38%），扣非净利润21.89亿元（-9.91%），经营活动现金流净额31.7亿元（净现比1.36）。资产负债率37.25%，净资产收益率14.75%。,医药工业收入101.09亿元（-8.43%），医药商业收入231.15亿元（+5.94%），医美业务收入10.02亿元（+123.28%）。,净利润同比下降18.38%，主要受集采降价及医保谈判影响，扣非净利润同比下降9.91%。,医药工业毛利率78.77%（-1.90%），医药商业毛利率7.24%（-0.28%），医美业务毛利率65.30%（+0.52%）。,销售费用率15.69%（-0.91%）。,管理费用率3.38%（+16.84%），主要因组织架构调整及研发投入增加。,经营活动现金流净额31.7亿元（-7.08%），与净利润匹配度下降。,应收账款64.3亿元（-1.54%），未提及具体风险。,资产负债率37.25%（-1.26%），货币资金增加14.94%。,扣非净利润占比93.6%，未依赖非经常性损益。,开放创新药研发体系、国际化业务能力、专科慢病产品管线、药学服务团队、医美产品集群、工业微生物技术平台。,医美业务覆盖80国，国内医美业务收入3.67亿元（+182.82%）；工业微生物板块收入4.18亿元（+69.2%）。,医药商业深耕浙江市场，医美业务拓展欧洲、拉美及亚太市场。,建成金华物流中心，冷链配送覆盖全省；医美产品通过欧盟CE、澳洲TGA等认证。,与ProventionBio、美国Ashvattha、韩国Daewon等开展合作，获得产品权益。,重点投资项目江东二期基地投产，美琪健康、华昌高科产业化平台建设。,实施高潜人才培养计划，强化EHS管理，员工人数稳定。,通过精益生产、成本管理提升效率，物流配送覆盖率达100%。,研发投入9.63亿元（+4.87%），占营收9.52%，聚焦ADC、微生物发酵、数字化转型。,Ellansé®伊妍仕®获批上市，TTP273、HDM1003等创新药进入临床。,研发费用率9.52%（+1.46%）。,累计专利620余件，授权发明专利280余件，中美华东为国家知识产权示范企业。,建成数字化医药批发平台，推进工业微生物智能制造。,集采常态化加速行业洗牌，创新药及高端医美产品成为竞争焦点。,老龄化推动医药需求，医美市场增长迅速，工业微生物技术商业化潜力大。,应对医保控费、集采政策，加强创新药研发及国际化布局。,推进创新药研发，拓展医美业务，深化工业微生物产业化。,前五大客户销售额占比19.16%，新增供应商合作项目超40个。,医美业务覆盖80国，计划拓展东南亚及中东市场。,关注疫情后消费复苏及医保支付方式改革对行业的影响。,集采降价、医保控费、原材料成本波动、应收账款风险。,应对DRG/DIP支付改革，加强合规管理。,通过绿色生产及节能技术降低环境影响。,通过供应链优化及成本控制应对。,经营性现金流净额下降，但货币资金充足。,前五大客户占比19.16%，未提及集中度风险。,推进绿色生产，发展工业微生物及医美业务。,获ESG百强、社会责任奖，参与公益项目。,建设绿色工厂，优化物流配送体系。
2475-立讯精密-2021.txt,未提及,未提及,未提及,公司通过现金收购增加立铠精密科技（盐城）有限公司，通过协议控制增加Caldigit Holding(Cayman)、台翰精密股份有限公司,未提及,通过新设、收购等方式新增多家子公司，注销部分子公司；立铠精密科技（盐城）有限公司被质押股权,"2021年实现销售收入1,539.46亿元，同比增长66.43%；利润总额81.43亿元，同比增长0.09%；归属于母公司净利润70.71亿元，同比下降2.14%",同比增长66.43%，主要因消费电子业务增长64.56%、外销增长68.68%,同比下降2.14%，主要因立铠精密业务利润率影响及智能声学可穿戴产品出货回调,消费性电子毛利率11.36%（同比下降6.48%），外销毛利率11.73%（同比下降6.03%）,"销售费用同比增长65.58%（789,908,163.80元），销售费用率0.51%（占营业收入比例）","管理费用同比增长51.87%（3,741,908,783.50元），主要因合并范围及业绩增加","同比增长5.99%（7,284,766,917.00元），主要因销售回款增加","应收账款31,623,185,946.25元（同比增长6.50%），未提及具体风险","货币资金减少3.23%（14,204,618,186.43元），应收账款增长6.50%，存货增长1.50%","非经常性损益影响较小，投资收益689,386,649.74元（占利润总额8.47%），主要为理财产品收入",垂直一体化制造能力、智能制造体系、研发能力（研发投入66.42亿元）、全球化布局,消费电子、通信、汽车业务全面布局，汽车业务形成线束、连接器、智能网联等主力产品线,外销占比93.18%（同比增长68.68%），消费电子占比87.46%（同比增长64.56%）,建立全球16个销售&FAE办公室，海外设厂优化成本结构,与奇瑞集团签署战略合作框架协议，组建新能源汽车ODM合资公司,立铠精密业务因前期投入影响利润率，但预计2022年趋稳,强调客户导向文化、精益求精的匠心精神、人才选育用留机制,通过智能制造、数字化平台提升生产效率和良率,"研发投入66.42亿元（占营收4.31%），新增专利3,090件（同比增长44.46%）",推出千兆以太网连接器、毫米波介质天线、光模块等新产品,研发投入占比4.31%（同比下降1.90%）,"有效专利3,090件（同比增长44.46%）",完成数字化工厂模型搭建，实现全流程追溯和闭环管控,消费电子行业呈现多元化和垂直一体化趋势，通信与数据中心行业增速超10%,5G、AI、IoT推动智能终端、汽车电子、数据中心需求增长,利用“东数西算”政策强化内循环，应对中美脱钩影响,推进“三个五年”战略，成为全球汽车零部件Tier1领导厂商,前五大客户销售额占比83.41%，持续拓展优质客户,通过全球化布局开拓海外市场，强化内循环,应对中美脱钩、地缘政治影响，强化供应链韧性,原材料价格波动、汇率风险、市场竞争加剧,加强合规管理，应对国际贸易摩擦影响,未提及具体措施,未提及具体应对措施,经营性现金流净额72.85亿元，未出现资金链紧张,前五大客户占比83.41%，未提及客户流失风险,推进绿色生产，节能降耗措施,未提及具体信息,未提及具体措施
2241-歌尔股份-2021.txt,未提及,未提及,未提及,"公司本年通过设立方式取得子公司GOERTEK MICROELECTRONICS KOREACO.,LTD.",未提及,未提及,"公司实现营业收入7,822,141.86万元，同比增长35.47%；归属于上市公司股东的净利润427,470.30万元，同比增长50.09%；营业成本6,716,766.67万元，同比增长38.54%；经营活动现金流量净额为净流入859,847.55万元，同比增长11.93%。",同比增长35.47%,同比增长50.09%,电子元器件行业毛利率14.16%，同比下降1.92%；智能声学整机毛利率10.33%，同比下降4.54%；智能硬件毛利率13.91%，同比上升1.40%,"销售费用444,869,977.08元，同比下降6.55%","管理费用1,951,657,773.32元，同比增长19.75%",同比增长11.93%,"应收账款11,899,214,525.92元，同比增长19.48%；未提及具体风险",短期借款增加7.02%，长期借款减少1.95%；货币资金增加0.73%,未提及,具备行业领先的精密制造与智能制造能力；多种技术融合平台；持续战略创新转型；优秀核心管理团队,聚焦VR虚拟现实、TWS智能无线耳机、智能可穿戴等领域；境外收入占比90.32%，同比增长39.23%,智能硬件业务占比41.94%，同比增长85.87%；精密零组件业务占比17.69%，同比增长13.39%,全球供应链向中国及发展中国家转移；与国际领先客户合作,与北京航空航天大学、清华大学等高校及科研机构合作,"募集资金使用情况良好；AR/VR项目累计投入30,375.77万元",注重人才梯队建设；核心管理团队国际化、专业化、年轻化,经营活动现金流入同比增长40.36%；存货增加1.26%,"研发投入430,134.28万元，占营收5.50%；专利申请3,468项，授权2,675项",推出VR/AR光学模组、TWS智能耳机、智能可穿戴设备等,研发投入占比5.50%，同比下降0.62%,"累计申请专利25,818项，其中发明专利13,102项；授权专利15,525项",应用信息化、自动化、人工智能技术；推进智能制造模式升级,全球科技行业呈现集中化态势；国内电子制造企业竞争力增强,VR/AR、智能可穿戴、TWS耳机等新兴领域增长显著,受益于国家创新驱动发展战略；加强研发投入,深化“精密零组件+智能硬件整机”战略；拓展微系统模组、MEMS传感器等领域,前五大客户销售额占比86.54%；持续拓展新业务机会,境外收入占比90.32%，计划加强全球化布局,关注全球疫情、地缘政治对行业的影响,客户集中度风险、汇率波动风险、核心技术人才流失风险,未提及,未提及,未提及,未提及,前五大客户销售额占比86.54%,坚持创新驱动发展；构建技术领域核心竞争力,未提及,未提及
2507-涪陵榨菜-2021.txt,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
600031-三一重工-2021.txt,梁在中（董事）已离任，其他董事无变动。,肖友良（原董秘）已离任，蔡盛林（现任董秘）任职。,向儒安（高级副总裁）、赵想章（高级副总裁）已离任，其他高管无变动。,未提及。,未提及。,三一融资租赁股权变动（收购及增资至94.86%）。,总资产1385.57亿元，净资产636.91亿元，资产负债率53.02%。,1061.13亿元，同比增长6.82%。,120.33亿元，同比下降22.04%。,工程机械行业毛利率26.10%，同比下降4.20个百分点。,6.699%（同比增长25.65%）。,2.770%（同比增长25.86%）。,119.04亿元，同比下降11.29%。,196.55亿元，同比下降18.57亿元；周转天数71天。,资产负债率53.02%，同比下降0.81%。,未提及。,混凝土机械全球第一，挖掘机械全球市场份额突破6%，起重机械市场份额超40%，智能制造灯塔工厂14家，研发投入65.09亿元。,国际销售收入248.46亿元，同比增长76.16%；亚澳、欧洲、美洲、非洲区域分别增长93.5%、42%、108.1%、118%。,挖掘机械销量突破10万台，混凝土机械市场份额稳居全球第一，起重机械市场份额超40%。,海外渠道覆盖30+子公司、140+网点、300+代理商，本地化率超90%。,成立新能源技术委员会，与外部机构合作布局电动化技术。,研发投入65.09亿元，新增专利2862项，推出186款新品。,强调“先做人、后做事”，研发人员7231人，占比30.52%。,应收账款周转率4.18次，存货周转率4.18次。,研发费用65.09亿元（同比+30.4%），专利申请2862项，授权9124项。,推出全球最大4500吨履带起重机、新能源搅拌车、电动自卸车等。,研发费用占比7.25%（同比+0.75%）。,累计申请专利13140项，授权9124项，居行业第一。,建成14家灯塔工厂，5G+工业互联网部署，数据中台建设。,混凝土机械国产品牌主导，挖掘机械向头部企业集中，起重机械三大国产品牌主导。,数字化、电动化、国际化为趋势，新能源产品需求增长。,响应“双碳”目标，推进电动化，布局海外市场。,推进“两新三化”战略，2022年目标包括数字化转型、电动化、国际化。,海外销售持续增长，重点市场突破。,加强欧美市场布局，提升本地化服务能力。,认为2022年行业仍将保持较好发展态势。,政策风险、市场风险、汇率风险、原材料价格波动。,加强合规管理，优化供应链。,推进电动化产品，降低碳排放。,通过供应链优化和成本控制应对。,未提及。,前五名客户销售额占比9.02%，无严重依赖。,推进电动化、智能化，实现绿色生产。,未提及。,推广电动化产品，优化生产流程。
