文件名,董事会成员变动,董秘变更,高级管理层变更,重大资产重组,控股股东/实际控制人变更,子公司或重要分支机构重大变化,对财务状况的分析,营业收入增长情况,净利润变动分析,毛利率变动分析,销售费用率变化,管理费用控制情况,经营性现金流变化趋势,应收账款变化与风险,资产负债结构调整,利润质量分析（是否依赖非经常性损益）,核心竞争力分析（品牌、成本、效率等）,市场拓展与业务布局进展,区域/产品结构优化情况,供应链/渠道建设进展,战略合作与外部联盟情况,投资项目执行及回报分析,企业文化建设与团队稳定性,对标管理与精细化运营成果,技术创新与研发投入,新产品/新技术推出情况,研发费用占比变化,专利数量与知识产权布局,智能制造/数字化转型进展,行业竞争格局分析,行业发展趋势与机会识别,国家政策影响与公司应对,未来经营计划与增长目标,订单/客户/签约情况展望,海外市场/出口业务计划,对经济周期或宏观环境的判断,面临的主要风险因素及变化,政策/监管风险与公司响应,环保合规/碳排放压力,土地/原材料/人工成本波动风险,资金链紧张预警,核心客户集中度及流失风险,可持续发展战略与目标,社会责任履行与公益活动,节能降耗/绿色生产措施
895-双汇发展-2021.txt,未提及,未提及,未提及,"报告期内收购哈尔滨鹏达种业有限公司40%股权，投资金额51,200,000元",未提及,未提及,2021年实现营业收入668亿元（-9.72%），净利润48.7亿元（-22.2%），经营活动现金流净额60.34亿元（-31.60%）,2021年营业收入同比下降9.72%，主要受生猪价格下降及冻品业务亏损影响,净利润同比下降22.2%，主要因冻品节奏把控偏差导致国产冻品和进口猪肉盈利水平大幅下降,整体毛利率15.35%（-0.53%），生鲜产品毛利率5.07%（-1.35%），包装肉制品毛利率28.62%（-0.02%）,销售费用率13.88%（+13.88%），主要因差旅费同比上升177.11%,管理费用同比下降22.31%，主要因费用优化,经营性现金流净额60.34亿元（-31.60%），主要受净利润下降及库存释放影响,应收账款1.83亿元（-0.14%），无重大风险,货币资金减少1.65亿元，存货减少0.71亿元，固定资产增加2.36亿元,非经常性损益占比3.57%（投资收益），利润质量较稳定,品牌优势显著（双汇品牌价值500强）、布局全国30个加工基地、设备自动化率提升、研发投入占比1.09%、人才结构优化（硕士占比75.34%）,"完成西华禽业、阜新禽业等6个重大技改项目，生猪产能恢复，肉制品向""肉蛋奶菜粮结合""转型",生鲜产品销量163.25万吨（+18.24%），包装肉制品库存量3.01万吨（+135.16%）,"线上直销覆盖21家电商平台，线下经销商18,947家（+9.17%），建立全国100多万销售网点",与罗特克斯形成国际采购协同效应，开展商品期货套期保值业务,2021年投资55.01亿元，完成西华禽业等技改项目，但部分项目未达预期进度,未提及,未提及,研发投入7.27亿元（+28.83%），研发人员246人（+35.16%），硕士占比75.34%,"推出""板烧鸡腿王""等特色产品，开发海藻胶共挤技术、差异化素食产品",研发费用占比1.09%（+0.33%）,未提及,推进屠宰业自动化改造，建立信息化供应链管理系统,行业集中度提升，规模化企业优势凸显，消费升级推动肉制品深加工,冷鲜肉消费增长，肉制品深加工率提升，生鲜电商渠道拓展,响应环保政策淘汰落后产能，通过期货套期保值应对原材料价格波动,2022年计划投资42亿元，推进新建项目及技改，实现经营指标增长,未提及,未提及,未提及,生猪价格波动、原材料成本、消费转型、人工成本上升,加强食品安全管控，应对环保政策影响,未提及,未提及,未提及,前五大客户销售额占比2.71%，无重大集中度风险,推进绿色生产，发展循环经济，提升资源利用效率,未提及,未提及
600566-济川药业-2021.txt,未提及,未提及,未提及,未提及,未提及,未提及,"2021年实现营业收入763,051.00万元（+23.77%），净利润171,917.59万元（+34.60%），扣非净利润155,688.00万元（+26.15%）。经营活动现金流净额18.94亿元（+6.32%），投资活动现金流净额-6.73亿元（+54.54%），筹资活动现金流净额-3.61亿元（-196.63%）。",同比增长23.77%，主要因疫情管控解除、产品结构优化及渠道拓展。,同比增长34.60%，受益于疫情影响消退、产品梯队销售增长及渠道扩张。,整体毛利率83.36%（+1.62个百分点），清热解毒类（+1.76）、儿科类（+1.68）、呼吸类（+1.83）毛利率提升显著。,销售费用率48.67%（+3.40%），主要因市场推广投入增加。,管理费用率9.27%（+0.92%），同比微增。,同比增长6.32%，现金流稳定性增强。,未提及具体数据。,交易性金融资产增加33.15%（13.81%→11.96%），存货增加34.90%（3.10%→2.65%），其他非流动金融资产增长120.72%（2.60%→1.36%）。,"扣非净利润占比84.85%（155,688.00/182,446.00），非经常性损益影响较小。","产品入选多部临床指南，获国家科技进步奖，拥有""寿牌""等驰名商标，通过GMP认证，成本控制能力突出。",成立零售事业部，拓展医药电商、互联网医院合作，推进数字化营销。,儿科类产品（+63.85%）、呼吸类产品（+72.01%）增速显著，华南、西北区域收入增长。,建立全国30省营销网络，实施OTC终端动销，拓展电商渠道。,与天境生物达成长效生长激素开发合作，支付2.24亿元首付款。,研发投入5.23亿元（+114.74%），研发费用占比7.14%，资本化率3.89%。,"获""全国先进基层党组织""，研发人员683人（占10.30%），团队稳定性良好。",通过成本攻关、质量管控提升运营效率，管理费用率控制在9.27%。,研发投入5.23亿元，获8项发明专利，推进一致性评价项目5项、临床试验项目6项。,宫瘤清片获药品批件，完成中药配方颗粒标准制定。,研发费用占比7.14%（+114.74%），占营业收入显著提升。,获8项发明专利，包括秦川通痹片制备方法（ZL201710703417.8）等。,推进生产自动化改造，建立数字化营销体系。,行业集中度低，政策推动集中度提升，仿制药一致性评价加速行业整合。,医保控费、集采常态化推动行业向高质量发展，创新药研发加速。,应对医保目录调整、DRG/DIP支付改革，优化产品准入策略。,"聚焦""发展、转型、创新""，推进产品引进、技术平台建设、精益化制造。",加强空白市场开发，拓展OTC和电商渠道，提升市场渗透率。,未提及具体计划。,医药行业需求刚性，不存在明显周期性。,医保目录调整、集采降价、产品集中度、原材料价格波动、质量控制等风险。,关注医保支付改革，调整产品策略，强化合规管理。,未提及具体措施。,通过招标采购、战略合作控制成本波动。,未提及预警信号。,前五大客户销售额占比5.66%，未达50%阈值。,推进绿色生产，优化产品结构，提升盈利能力。,未提及具体活动。,未提及具体措施。
2552-宝鼎科技-2021.txt,未提及,未提及,未提及,2021年10月审议通过发行股份购买资产并募集配套资金暨关联交易方案，涉及重大资产重组事项,未提及,未提及,2021年营业收入3.53亿元，同比下降3.68%；净利润636.7万元，同比下降16.03%；经营活动现金流净额4987.57万元，同比下降0.93%,同比下降3.68%,同比下降16.03%,同比下降2.51%,同比增加14.48%,同比增加9.85%,同比下降0.93%,应收账款8028.4万元（2021年末），同比下降3.23%；未提及具体风险,货币资金增加至1.15亿元（+10.79%），存货增加至1.32亿元（+5.57%）,未提及,拥有十大船级社认证；产品结构覆盖船舶、电力、工程机械等领域；拥有300+先进生产设备及检测体系,船用产品占比52.14%（同比下降0.34%），工程机械配套占比提升至37.9%,国内业务占比95.76%，出口业务占比4.24%,未提及,未提及,投资活动现金流净额同比上升192.16%，主要因理财产品赎回及分红,未提及,未提及,研发投入1531.13万元，同比增加13.86%；新增8项专利（含4项发明专利）,未提及,占营业收入4.34%（同比增加0.67%）,新增8项专利（4项授权），含1项发明专利、3项实用新型专利,未提及,未提及,未提及,"受益于""双碳""战略及风电产业发展",2022年计划推进重大资产重组，优化产品结构，加强研发创新,未提及,未提及,未提及,宏观经济不确定性、产品结构集中风险、原材料价格波动、疫情反复风险,未提及,"受益于""双碳""战略，风电产业链需求增长",原材料价格波动影响毛利率，通过技术升级和集中采购应对,未提及,前五大客户销售额占比34.89%，未提及集中度风险,未提及,未提及,未提及
2429-兆驰股份-2021.txt,未提及,未提及,未提及,公司出售兆驰供应链85.2273%股权，交易价格30亿元，2021年11月23日完成，出售后兆驰供应链不再纳入合并范围，定价依据为每股净资产，未涉及关联交易。,未提及，控股股东未发生变更。,新设子公司深圳市兆驰数码软件技术有限公司（2021年11月）、深圳市兆驰晶显技术有限公司（2021年2月）、东莞市兆驰智能科技有限公司（2021年6月），剥离供应链管理公司。,"2021年营业收入225.38亿元（+11.65%），净利润3.33亿元（含资产减值准备），剔除后净利润22.26亿元（+26.26%）。毛利率15.83%（+0.15%），经营性现金流净额21.05亿元（同比+23,275.27%）。",电子制造及运营服务收入221.38亿元（+12.61%），LED产业链收入45.72亿元（+24.17%）。,净利润3.33亿元（含资产减值准备），剔除后净利润22.26亿元（+26.26%），主要因恒大集团应收债权计提减值18.93亿元。,毛利率15.83%（+0.15%），LED产业链毛利率20.65%（+9.01%），多媒体视听产品毛利率12.97%（+1.15%）。,销售费用3.47亿元（+1.00%），销售费用率1.53%（同比+0.01%）。,管理费用2.36亿元（+2.51%），管理费用率1.05%（同比+0.02%）。,"经营性现金流净额21.05亿元（同比+23,275.27%），主要因销售收入增加及回款提升。",应收账款54.25亿元（+1.02%），无重大风险。,货币资金减少（-4.64%），短期借款减少（-5.90%），长期借款增加（+2.02%），投资性房地产减少（-0.01%）。,净利润依赖非经常性损益，剔除资产减值准备后净利润22.26亿元。,完善的研发体系、自动化信息化水平、规模化优势、品控体系、资源整合能力。,聚焦5G、Mini/MicroLED、智慧家庭组网，布局北美、欧洲市场，推出智能电视解决方案。,大尺寸产品销售占比提升3.4个百分点，智能电视销售占比近95%。,供应链管理业务减少，LED全产业链布局深化，MiniLED产能扩产。,与苹果、华为、三星等品牌合作，推出MiniLED背光产品，与Google、Roku、Amazon Fire达成授权。,MiniLED扩产项目（新增52腔MOCVD设备），LED芯片产能提升至110万片/月，预计2022年投产。,实施人才战略，完善股权激励，提升员工凝聚力。,智能制造水平提升，生产效率优化，成本控制能力增强。,研发投入5.55亿元（+17.63%），占营收2.89%，研发费用资本化率8.00%。,推出MiniRGB显示、COB封装技术、MiniLED背光产品，布局MicroLED、VCSEL等前沿技术。,研发费用占比2.89%（同比-0.38%）。,多项专利申请，覆盖MiniRGB、COB封装、纳米压印等技术。,实现智能制造能力成熟度三级标准，自动化设备覆盖率提升，MES/SAP系统优化。,LED行业向中国大陆集中，MiniLED背光市场快速增长，行业集中度提升。,Mini/MicroLED、5G、AI、超高清视频等技术驱动行业增长，公司布局新兴显示技术。,响应5G、超高清视频政策，推动智慧显示和通信业务发展。,聚焦主营业务，发展Mini/MicroLED，深化5G+超高清生态，提升全球市场份额。,前五大客户销售占比51.55%，主要客户为国内外知名品牌。,拓展北美、欧洲市场，获得Google、Roku、Amazon Fire授权，出口占比提升。,经济形势复杂严峻，公司通过智能制造和成本控制应对不确定性。,管理风险（扩张整合）、市场竞争加剧、原材料成本波动、政策监管风险。,加强合规管理，应对环保和碳排放政策，优化供应链。,实施绿色生产措施，优化能耗管理，符合环保法规。,通过规模化采购和供应链优化控制成本。,经营性现金流充足，货币资金减少但短期偿债能力稳健。,前五大客户占比51.55%，无重大客户流失风险。,推动绿色生产，提升能源效率，布局低碳技术。,未提及,优化生产工艺，降低能耗，提升资源利用效率。
2475-立讯精密-2021.txt,无相关信息,无相关信息,无相关信息,报告期内通过现金收购增加立铠精密科技（盐城）有限公司，通过协议控制增加Caldigit Holding(Cayman)、台翰精密股份有限公司,未提及,本期通过新设增加16家子公司，通过现金收购增加立铠精密科技（盐城）有限公司，通过协议控制增加Caldigit Holding(Cayman)、台翰精密股份有限公司；本期转让原持有的无锡惠虹电子有限公司股权，不再纳入并表范围；本期清算注销4家子公司,"2021年实现销售收入1,539.46亿元（+66.43%），利润总额81.43亿元（+0.09%），归属于母公司净利润70.71亿元（-2.14%）",消费电子业务收入1346.38亿元（+64.56%），外销收入1434.53亿元（+68.68%）,净利润70.71亿元（-2.14%），主要受立铠精密业务利润率影响及智能声学可穿戴产品出货回调影响,消费电子业务毛利率11.36%（-6.48%），外销业务毛利率11.73%（-6.03%）,销售费用率0.51%（+65.58%），主要因合并范围及业绩增加,管理费用率2.43%（+51.87%），主要因合并范围及业绩增加,经营性现金流净额72.85亿元（+5.99%）,应收账款316.23亿元（+6.50%），主要因业绩增长及合并范围增加,货币资金减少3.23%，固定资产增加0.12%，在建工程增加0.79%,非经常性损益占利润总额8.47%（投资收益6.89亿元）,垂直一体化制造能力、智能制造系统、全球化服务布局、研发投入强度（研发费用占比4.31%）,消费电子业务覆盖TWS耳机、AR/VR/MR设备；通信业务拓展热管理系统、工业连接；汽车业务布局线束、连接器、智能网联产品,消费电子业务占比87.46%，外销占比93.18%,建立全球16个销售&FAE办公室，海外制造工厂服务全球客户,与奇瑞集团成立合资公司开展新能源汽车ODM业务,立铠精密业务规模高速成长，但因前期投入影响利润率；研发投入66.42亿元（+15.62%）,"实施""三个五年""战略，建立人才选育用留机制",通过SAP、MES等系统实现全流程数字化管理,"研发投入66.42亿元（+15.62%），拥有3,090件有效专利",推出千兆以太网连接器、毫米波介质天线、SIP系统级封装等产品,研发费用占比4.31%（同比-1.90%）,"有效专利3,090件（+44.46%）",建成数字化工厂模型，实现AI视觉检测、AGV物流、MES系统集成,消费电子行业呈现多元化和垂直一体化趋势，通信行业向数据中心演进，汽车电子向智能网联发展,5G/AI技术推动消费电子迭代，数据中心需求增长，智能电动汽车渗透率提升,"受益于""东数西算""、国产替代政策，加强内循环布局","推进""三个五年""战略，成为汽车零部件Tier1领导厂商",前五大客户销售额占比83.41%，主要客户包括客户1（74.09%）,通过全球化制造布局拓展海外市场,应对中美脱钩、地缘政治影响，强化内循环,芯片短缺、原材料价格波动、汇率风险、客户集中度风险,加强合规管理，应对中美贸易摩擦影响,未提及,未提及,未提及,前五大客户销售额占比83.41%,实施绿色生产，推进智能制造,未提及,未提及
963-华东医药-2021.txt,无相关信息,无相关信息,无相关信息,公司收购英国Sinclair公司100%股权（2021年2月）、西班牙HighTech公司100%股权（2021年9月）、Viora公司100%股权（2022年2月），完成医美业务全球化布局；收购浙江道尔生物科技有限公司75%股权（2021年4月），控股安徽华昌高科药业有限公司（2021年12月）。,无相关信息,成立湖北美琪健康科技有限公司（2021年11月）、收购HighTech公司（2021年9月）、Viora公司（2022年2月）；控股子公司浙江珲达生物科技有限公司（2021年4月）；收购美国R2公司（2021年4月）。,2021年营业收入345.63亿元（同比+2.61%），净利润23.02亿元（同比-18.38%），扣非净利润21.89亿元（同比-9.91%）；经营活动现金流净额31.7亿元（净现比1.36）；资产负债率37.25%，ROE 14.75%。,医药工业收入101.09亿元（-8.43%），医药商业收入231.15亿元（+5.94%），医美业务收入10.02亿元（+123.28%）。,净利润同比下降18.38%，主要受集采降价及医保控费影响；扣非净利润同比下降9.91%。,制造业毛利率78.77%（同比-1.90%），商业毛利率7.24%（同比-0.28%），医美业务毛利率65.30%（同比+0.52%）。,销售费用率15.70%（同比-0.91%），主要因市场策略优化及渠道效率提升。,管理费用11.67亿元（同比+16.84%），主要因研发及组织架构调整投入增加。,经营活动现金流净额31.7亿元（同比-7.08%），与净利润匹配度下降。,应收账款64.30亿元（同比-1.54%），账龄结构优化，坏账风险可控。,货币资金40.32亿元（同比+1.73%），存货39.75亿元（同比-2.09%），长期股权投资9.85亿元（同比+1.40%）。,扣非净利润占比94.8%（21.89/23.02），非经常性损益影响较小。,1）创新药研发体系（研发投入占比10%以上）；2）国际化业务布局（医美全球覆盖80+国家）；3）专科慢病产品管线（覆盖慢性肾病、移植免疫等）；4）工业微生物技术平台（50+项目储备）；5）冷链物流体系（全国领先）。,医美业务全球布局（收购HighTech/Viora）、工业微生物板块扩张（美琪健康、华昌高科）、医药商业电商化（华东大药房旗舰店）。,医药商业深耕浙江市场，医美业务海外营收占比84%，工业微生物板块收入4.18亿元（+69.2%）。,建成金华物流中心（年吞吐量1000万件），冷链配送覆盖浙江全省，第三方物流业务增长。,与ProventionBio、诺灵生物、道尔生物等合作，获得全球创新药权益；与美国R2、瑞士Kylane等建立研发联盟。,重点投资22亿元的江东二期基地投产，美琪健康产业化平台启动，工业微生物项目累计100+项。,实施高潜人才计划、管理培训生项目，研发团队硕博占比36.58%，员工稳定性提升。,通过精益生产、流程优化，降低生产成本，提升人均劳效。,研发投入9.63亿元（同比+4.87%），研发人员1285人（同比+6.46%），专利申请61件。,Ellansé®伊妍仕®（Ⅲ类医疗器械）、CooltechDefine（欧盟CE认证）、HDM2002（ADC药物）等。,研发费用占比9.52%（同比+1.46%），占医药工业营收12.40%。,累计专利620余件，授权发明专利280余件，中美华东为国家知识产权示范企业。,建成数字化医药批发平台，推进工业微生物智能制造，实现生产流程自动化。,集采常态化压缩传统药企利润空间，创新药及高端医美产品成为竞争焦点。,老龄化推动医药需求增长，创新药、医美、工业微生物为未来增长点。,应对医保控费及集采政策，通过创新药研发、国际化布局降低政策风险。,2022年计划推进10款ADC创新药临床，医美业务海外营收增长，工业微生物板块收入翻倍。,前五大客户销售额占比19.16%，新增供应商合作项目40个，新增合约产品200个。,医美业务覆盖80+国家，计划拓展欧洲、拉美市场；出口产品包括注射用达托霉素等。,疫情后经济复苏，医药行业加速转型，创新药及高端制造为增长引擎。,医保控费、集采降价、市场竞争加剧、原材料成本波动、政策监管趋严。,通过创新药研发、合规化运营应对医保控费，加强质量管理体系。,推进绿色生产，工业微生物项目符合环保标准，冷链物流降低碳足迹。,通过供应链优化及成本控制应对成本波动，工业微生物板块技术壁垒降低依赖。,货币资金40.32亿元，经营性现金流净额31.7亿元，流动性风险可控。,前五大客户占比19.16%，客户结构分散，医美业务海外客户占比84%。,工业微生物板块收入目标翻倍，医美业务全球市场份额提升，绿色生产达标。,获ESG百强、社会责任奖，参与公益项目，推动行业规范化发展。,建设绿色工厂，优化生产流程，冷链物流系统降低能耗。
600031-三一重工-2021.txt,梁在中（董事）已离任，其他董事无变动。,肖友良（原董事会秘书）已离任，蔡盛林接任。,赵想章（高级副总裁）、代晴华（高级副总）已离任；肖友良（董秘）已离任；梁在中（董事）已离任。,"2021年3月，公司以156,642千元收购三一融资租赁75%股权，6月增资8亿元至持股94.86%。",未提及。,未提及。,总资产1385.57亿元，净资产636.91亿元，资产负债率53.02%（较2020年下降0.81%）。,1061.13亿元，同比增长6.82%。,120.33亿元，同比下降22.04%（主要因研发费用增加及毛利率下降）。,整体毛利率26.10%（同比下降4.20个百分点），混凝土机械毛利率24.99%（下降2.31%），挖掘机械毛利率28.94%（下降5.73%）。,6.699亿元，同比增长25.65%（因销售规模扩大及代理商帮扶）。,27.705亿元，同比增长25.86%（因薪金福利增加）。,119.04亿元，同比下降11.29%（因采购原材料支付现金增加）。,196.55亿元，同比下降18.57亿元，周转天数71天（较上年下降9天）。,资产负债率53.02%，长期应收款79.66亿元（同比增加43.41%）。,未提及。,混凝土机械全球第一，挖掘机械全球市场份额突破6%，电动化技术布局，智能制造（14家灯塔工厂，产能提升70%）。,国际销售收入248.46亿元（同比增长76.16%），覆盖30+海外子公司、140+渠道网点，欧美印本地化率超90%。,挖掘机械销量突破10万台，混凝土机械市场份额稳居全球第一，电动化产品销量破千台。,海外渠道体系覆盖30+子公司、140+网点，5G+工业互联网部署10余家工厂。,成立新能源技术委员会，与外部机构合作布局电驱桥、VCU等核心技术。,研发投入65.09亿元（同比增长30.4%），推出186款新品，获国家科技进步奖3项。,强调“先做人、后做事”，研发人员7231人（同比增长35%）。,应收账款周转率4.18次，存货周转率4.18次，数字化转型推进。,研发费用65.09亿元（占营收6.13%），申请专利2862项（同比增长150%），获国家技术发明奖2项。,推出全球最大4500吨履带起重机、新能源搅拌车、电动自卸车等186款新品。,研发费用占比6.13%（同比增长0.39个百分点）。,申请专利13140项，授权专利9124项，居行业第一。,14家灯塔工厂，5G+工业互联网部署，数据中台建设，智能产品如预测性维护、无人化施工。,混凝土机械国产品牌主导，挖掘机械向头部企业集中，起重机械由三大国产品牌主导。,数字化、电动化、国际化为趋势，电动化产品销量增长，海外市场扩张。,响应“双碳”目标，推进电动化，布局新能源技术。,推进“两新三化”战略，2022年目标为数字化转型、电动化、国际化。,国际收入占比23.4%（同比上升9.2%），主要产品海外销量增长。,聚焦欧美主流市场，提升本地化运营能力，扩大海外渠道。,认为2022年行业仍将增长，受益于基建投资及电动化趋势。,政策风险（基建投资波动）、市场风险（贸易保护主义）、汇率风险、原材料价格波动。,未提及具体应对措施。,推进电动化产品，减少碳排放，符合“双碳”目标。,未提及具体应对措施。,未提及。,前五名客户销售额占比9.02%，未提及集中度风险。,电动化、绿色生产，推动新能源产品及技术。,未提及。,电动化产品推广，智能制造降低能耗。
2415-海康威视-2021.txt,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,海康威视以视频技术为起点，构建了覆盖感知层、网络传输层、应用层的智能物联系统，具备多维感知技术平台（可见光、毫米波、红外、X光等）、AI开放平台（支持算法训练、自主学习）、物信融合数据资源平台（数据集成、分析、共享）等核心技术能力，形成软硬融合、云边融合、数智融合的系统能力，产品矩阵覆盖安防、智能家居、工业物联等多领域。,成立萤石网络、海康机器人、海康微影等创新业务，拓展智慧安防、工业物联、智能家居等场景；覆盖全球150多个国家和地区，业务组织分为3个事业群（公共服务、企事业、中小企业）和8个创新业务，构建国内/国际双营销体系。,未提及,未提及,未提及,未提及,未提及,未提及,研发投入聚焦AI开放平台（支持多模态算法训练、自主学习系统）、HEOP嵌入式开放平台（统一软件平台）、物信融合数据资源平台（数据治理、模型仓库），2021年AI开放平台服务企业超8000家，生成模型5万个，累积落地项目4000个。,推出超清全彩摄像机、海康雷视道路预警系列、智融存储（存算融合技术）、超脑NVR（行业专用场景）、流式存储（全球视频存储行业排名前列）等产品。,未提及,未提及,构建“云边融合、物信融合、数智融合”能力架构，推出慧拼应用赋能平台（低代码开发）、云眸企业级SaaS服务，实现园区数字化运营、设备智能运维、智慧交通管理等场景。,未提及,智能物联技术渗透至千行百业，海康威视聚焦“感知、智能、数据”核心能力，布局智慧城市、工业物联、智慧交通等新兴领域。,响应国家数字化改革政策，深化“感知统建、一网统管、数智赋能”建设，参与智慧城市建设（如北京冬奥、杭州亚运），推动公共安全、交通治理、生态环保等领域的智能化应用。,持续推进产品、系统、服务升级迭代，深化智慧园区、智慧交通、智慧医疗等场景应用，拓展海外市场，助力政府数字治理与社会和谐发展。,未提及,未提及,未提及,未提及,未提及,推出绿色生产措施（如节能设备、太阳能供电系统），参与环保监测（如水质智能监测、固废全过程监管）。,未提及,未提及,未提及,推进绿色生产（节能降耗、太阳能供电）、智慧生态监测（自然资源、水利防汛、大气环境监管），助力碳达峰、碳中和目标。,参与疫情防控（测温数据云平台）、乡村振兴（乡村数字化建设）、基层治理（镇街智慧化管理），提供智慧社区、智慧园区等公共服务解决方案。,采用低功耗设备（如4G低功耗设计）、节能技术（如智能照明、能耗管理系统），推动绿色供应链建设。
600276-恒瑞医药-2021.txt,未提及,未提及,未提及,未提及,未提及,未提及,2021年公司实现营业收入259.06亿元，同比下降6.59%；归属于母公司所有者的净利润45.30亿元，同比下降28.41%；扣除非经常性损益的净利润42.01亿元，同比下降29.53%。利润降幅大于营收降幅，主要由于研发投入增加、集采降价、医保谈判产品降价、原材料成本上涨及运营成本高企。,同比下降6.59%,同比下降28.41%（扣非净利润同比下降29.53%）,毛利率下降主要因研发投入增加、集采产品大幅降价（如卡瑞利珠单抗降价85%）、医保谈判产品价格压缩及原材料成本上涨。,未提及具体数据,未提及具体数据,未提及,未提及,未提及,扣非净利润占比达93.3%（42.01/45.30），利润质量主要依赖主营业务。,创新药研发能力突出（10款创新药上市，位居国内前列），专利布局广泛（2021年提交国内专利244件、国际PCT89件），数字化营销体系及国际化研发团队建设。,推进销售改革（销售人员精简28.2%），加速创新药上市（如卡瑞利珠单抗8项适应症获批），拓展海外市场（美国、欧洲、澳洲等）。,未提及,未提及,未提及,未提及,未提及,未提及,2021年研发投入62.03亿元（占营收23.95%），聚焦创新药研发及国际化临床试验，累计提交专利361件（国内112件、国外117件）。,10款创新药上市，包括卡瑞利珠单抗、吡咯替尼、氟唑帕利等；17个在研创新药进入Ⅲ期临床，覆盖肿瘤、糖尿病、自身免疫疾病等领域。,研发费用占比23.95%（同比增加24.34%）,2021年提交专利361件，获授权专利229件，覆盖全球主要市场。,搭建线上客户管理平台、营销数据分析平台，推进销售数字化转型。,仿制药集采常态化（28个品种中选18个，平均降价73%），创新药同质化竞争加剧，医保谈判压缩销售利润空间。,创新药研发加速、国际化布局深化、数字化营销转型、罕见病药物研发机遇。,应对集采、医保谈判政策，加快创新药研发及国际化，优化销售模式以适应政策变化。,持续推进创新药研发，扩大国际化布局，优化销售结构，提升运营效率。,未提及,推进海外临床试验（20项国际多中心Ⅲ期研究），拓展欧美日市场，已获21个注册批件。,未提及,仿制药集采降价、医保谈判压缩利润、原材料成本上涨、员工规模与业务不匹配、自然灾害影响、创新药研发周期长及市场不确定性。,应对集采、医保谈判政策，加强合规管理，优化产品结构以适应监管要求。,推进清洁生产，采用密闭化工艺，减少污染排放。,未提及,未提及,未提及,绿色生产、节能降耗，推进环保技术应用。,未提及,采用先进生产工艺，减少能耗，提升资源利用效率。
2241-歌尔股份-2021.txt,未提及,未提及,未提及,"公司本年通过设立方式取得子公司GOERTEK MICROELECTRONICS KOREA CO., LTD。",未提及,"公司本年通过设立方式取得子公司GOERTEK MICROELECTRONICS KOREA CO., LTD。","公司实现营业收入7,822,141.86万元，同比增长35.47%；归属于上市公司股东的净利润427,470.30万元，同比增长50.09%；营业成本6,716,766.67万元，同比增长38.54%；经营活动现金流量净额为净流入859,847.55万元，同比增长11.93%。",同比增长35.47%,同比增长50.09%,分产品毛利率：精密零组件23.11%（+0.79%）、智能声学整机10.33%（-4.54%）、智能硬件13.91%（+1.40%）；分地区毛利率：境内13.91%（-1.10%）、境外14.18%（-2.04%）。,"销售费用444,869,977.08元，同比下降6.55%","管理费用1,951,657,773.32元，同比增长19.75%",同比增长11.93%,"应收账款11,899,214,525.92元，同比增长1.61%；存货12,082,308,485.38元，同比增长1.26%","货币资金10,048,521,696.09元（+0.73%）、短期借款4,284,859,347.02元（+0.58%）、长期借款2,204,215,784.74元（-1.95%）",未提及,精密制造能力、技术融合平台、战略创新转型、优秀管理团队,VR虚拟现实、TWS智能无线耳机、智能可穿戴、智能家居等业务增长,境外收入占比90.32%（+39.23%），智能硬件收入占比41.94%（+85.87%）,全球供应链向中国转移，与高校科研机构合作,与北京航空航天大学、清华大学等高校及科研机构合作,"募集资金使用129,831.49万元，AR/VR项目进展中",管理团队国际化、专业化、年轻化,经营周期优化，资金占用减少,"研发投入430,134.28万元，占营收5.50%",微型扬声器模组、MEMS传感器、VR/AR光学器件等,5.50%（同比-0.62%）,"累计申请专利25,818项（含发明专利13,102项），授权15,525项（含发明专利4,165项）",智能制造模式升级，应用AI、自动化技术,行业集中化，头部企业主导技术、人才、资金,VR/AR、智能可穿戴、TWS耳机等新兴领域增长,响应创新驱动发展战略，布局智能制造,深化“精密零组件+智能硬件整机”战略，拓展微系统模组、MEMS传感器等,前五大客户占比86.54%，持续拓展新业务,加强全球化布局，承接国际供应链需求,关注疫情、地缘政治对行业的影响,客户集中度、汇率波动、核心技术人才流失、管理风险,完善信息披露，加强合规管理,未提及,未提及,未提及,前五大客户占比86.54%,未提及,未提及,未提及
